date,year,week_num,album,artist,meta_score,user_score,crit_num,user_num,label,genres
"April 17, 2020",2020,16,Fetch the Bolt Cutters,Fiona Apple,98,81,28,1325,Epic,"['Pop/Rock', 'Adult Alternative Pop/Rock', 'Alternative/Indie Rock', 'Alternative Singer/Songwriter']"
"June 19, 2020",2020,25,Rough and Rowdy Ways,Bob Dylan,95,76,25,189,Columbia,['Pop/Rock']
"May 15, 2020",2020,20,Set My Heart on Fire Immediately,Perfume Genius,91,85,25,181,Matador,['Pop/Rock']
"July 31, 2020",2020,31,Sex Death The Infinite Void,Creeper,91,80,8,39,Roadrunner Records,"['Pop/Rock', 'Alternative/Indie Rock', 'Punk Revival']"
"June 18, 2020",2020,25,Punisher,Phoebe Bridgers,90,89,31,372,Dead Oceans,['Pop/Rock']
"November 13, 2020",2020,46,Send Them To Coventry Mixtape,Pa Salieu,90,0,8,0,Warner Records,['Rap']
"May 15, 2020",2020,20,gr,Moses Sumney,90,85,,0,,[]
"June 3, 2020",2020,23,RTJ4,Run the Jewels,89,89,26,311,BMG,['Rap']
"April 17, 2020",2020,16,Sawayama,Rina Sawayama,89,91,14,1057,Dirty Hit,['Pop/Rock']
"April 24, 2020",2020,17,Shortly After Takeoff,BC Camplight,89,81,10,43,Bella Union,"['Pop/Rock', 'Alternative/Indie Rock']"
"June 26, 2020",2020,26,Women in Music Pt III,HAIM,89,87,23,274,Columbia,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock']"
"February 7, 2020",2020,6,Were New Again A Reimagining by Makaya McCraven,Gil Scott-Heron,89,80,10,28,XL,['Jazz']
"July 24, 2020",2020,30,folklore,Taylor Swift,88,91,27,16938,Republic,['Pop/Rock']
"April 10, 2020",2020,15,Song for Our Daughter,Laura Marling,88,87,20,96,Chrysalis Records,['Pop/Rock']
"March 27, 2020",2020,13,Future Nostalgia,Dua Lipa,88,88,19,4289,Atlantic,"['Pop', 'Pop/Rock']"
"March 27, 2020",2020,13,Saint Cloud,Waxahatchee,88,78,24,122,Merge,"['Pop/Rock', 'Alternative/Indie Rock']"
"April 3, 2020",2020,14,Heaven to a Tortured Mind,Yves Tumor,88,82,18,120,Warp,['Pop/Rock']
"May 29, 2020",2020,22,Alfredo,Freddie Gibbs,88,87,9,107,Empire,"['Rap', 'Pop/Rock']"
"October 23, 2020",2020,43,Letter to You,Bruce Springsteen,88,84,25,62,Columbia,['Pop/Rock']
"June 19, 2020",2020,25,Homegrown,Neil Young,88,78,21,28,Reprise,['Pop/Rock']
"April 3, 2020",2020,14,A Billion Heartbeats,Mystery Jets,87,84,7,21,Mystery Jets Records,"['Pop/Rock', 'Alternative/Indie Rock']"
"August 7, 2020",2020,32,Microphones in 2020,The Microphones,87,83,7,36,P.W. Elverum & Sun,"['Alternative/Indie Rock', 'Alternative Pop/Rock', 'Indie Rock', 'Lo-Fi', 'Indie Pop', 'Experimental Rock']"
"July 17, 2020",2020,29,Pain Olympics,Crack Cloud,87,82,8,6,Tin Angel,['Pop/Rock']
"February 7, 2020",2020,6,Workaround,Beatrice Dillon,87,69,8,16,Pan,['Pop/Rock']
"October 9, 2020",2020,41,Edna,Headie One,87,82,7,11,Relentless,['Rap']
"September 25, 2020",2020,39,Ohms,Deftones,87,89,21,187,Warner Bros.,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock', 'Alternative Metal']"
"May 1, 2020",2020,18,Shall We Go on Sinning So That Grace May Increase,The Soft Pink Truth,87,77,8,7,Thrill Jockey,"['Electronic', 'Pop/Rock']"
"September 22, 2020",2020,39,Shore,Fleet Foxes,87,88,19,105,Anti/Epitaph,['Pop/Rock']
"August 28, 2020",2020,35,Use Me,PVRIS,87,83,8,59,Warner Bros.,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock']"
"October 2, 2020",2020,40,Róisín Machine,Róisín Murphy,86,91,,0,,[]
"March 20, 2020",2020,12,The Night Chancers,Baxter Dury,86,85,13,28,Heavenly,['Pop/Rock']
"January 24, 2020",2020,4,Big Conspiracy,J Hus,86,78,10,36,Black Butter,['Rap']
"July 24, 2020",2020,30,Hearts Ease,Shirley Collins,86,0,14,0,Domino,['Folk']
"March 13, 2020",2020,11,Every Bad,Porridge Radio,86,81,15,30,Secretly Canadian,['Pop/Rock']
"July 17, 2020",2020,29,Beyond the Pale,Jarv Is,86,79,15,21,Rough Trade,['Pop/Rock']
"October 23, 2020",2020,43,Off Off On,This Is the Kit,86,0,7,0,Rough Trade,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Pop', 'Indie Folk']"
"February 7, 2020",2020,6,U Kin B The Sun,Frazey Ford,86,80,7,6,Arts & Crafts,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Singer/Songwriter']"
"September 18, 2020",2020,38,Throes of Joy in the Jaws of Defeatism,Napalm Death,86,0,8,0,Century Media,"['Pop/Rock', 'Heavy Metal', 'Grindcore']"
"June 26, 2020",2020,26,Kitchen Sink,Nadine Shah,86,71,15,10,Infectious,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock']"
"December 11, 2020",2020,50,We Will Always Love You,The Avalanches,86,90,23,81,Astralwerks,"['Electronic', 'Alternative/Indie Rock', 'Club/Dance', 'Alternative Dance']"
"September 4, 2020",2020,36,Gold Record,Bill Callahan,86,81,18,10,Drag City,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock', 'Alternative Singer/Songwriter']"
"March 6, 2020",2020,10,Nick of Time,The James Hunter Six,85,86,7,5,Daptone,['R&B']
"October 9, 2020",2020,41,Silver Ladders,Mary Lattimore,85,84,10,12,Ghostly International,"['Electronic', 'Avant-Garde', 'Pop/Rock', 'Alternative/Indie Rock', 'Experimental Rock', 'Experimental Ambient', 'Improvisation']"
"September 4, 2020",2020,36,Hannah,Lomelda,85,83,8,9,Double Double Whammy,['Pop/Rock']
