date,year,week_num,album,artist,meta_score,user_score,crit_num,user_num,label,genres
"May 22, 2012",2012,21,Ten Freedom Summers,Wadada Leo Smith,99,43,8,197,Cuneiform Records,['Jazz']
"February 21, 2012",2012,8,On the Impossible Past,The Menzingers,93,80,9,47,Epitaph,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock']"
"July 17, 2012",2012,29,Channel Orange,Frank Ocean,92,89,46,1078,Def Jam,['R&B']
"October 22, 2012",2012,43,Good Kid MAAD City,Kendrick Lamar,91,89,36,2155,Aftermath Records,['Rap']
"June 19, 2012",2012,25,The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do,Fiona Apple,89,90,,0,,[]
"March 13, 2012",2012,11,Accelerando,Vijay Iyer Trio,88,70,9,12,Act Music + Vision,"['Jazz', 'Piano Jazz', 'Jazz Instrument', 'Post-Bop', 'Progressive Jazz']"
"October 9, 2012",2012,41,Lonerism,Tame Impala,88,89,35,478,Modular,"['Indie Rock', 'Neo-Psychedelia']"
"April 16, 2012",2012,16,Crown and Treaty,Sweet Billy Pilgrim,88,0,8,0,EMI,['Pop/Rock']
"October 9, 2012",2012,41,All We Love We Leave Behind,Converge,88,88,19,67,Epitaph,['Pop/Rock']
"July 3, 2012",2012,27,Fetch,Moritz von Oswald Trio,87,62,9,5,Honest Jon's,"['Electronic', 'Club/Dance']"
"December 4, 2012",2012,49,Music For the Quiet HourThe Drawbar Organ EPs,Shackleton,87,72,11,6,Woe To The Septic Heart!,"['Electronic', 'Club/Dance']"
"August 28, 2012",2012,35,The Seer,Swans,87,85,32,136,Young God Records,"['Post-Rock', 'Experimental Rock', 'Noise-Rock']"
"August 20, 2012",2012,34,World Music,Goat,87,79,10,9,Rocket Records,[]
"September 4, 2012",2012,36,Bouger le Monde!,Staff Benda Bilili,87,0,10,0,Crammed Discs,[]
"October 22, 2012",2012,43,Book Burner,Pig Destroyer,86,75,7,8,Relapse Records,"['Pop/Rock', 'Heavy Metal']"
"February 28, 2012",2012,9,Young Man In America,Anas Mitchell,86,80,,0,,[]
"August 20, 2012",2012,34,Life Is People,Bill Fay,86,81,21,9,Dead Oceans Records,"['Pop/Rock', 'Contemporary Singer/Songwriter']"
"October 2, 2012",2012,40,Kaleidoscope Dream,Miguel,86,88,20,138,RCA,"['R&B', 'Contemporary R&B']"
"November 6, 2012",2012,45,Luxury Problems,Andy Stott,86,86,20,51,Modern Love,"['Electronic', 'Club/Dance']"
"September 18, 2012",2012,38,3 Pears,Dwight Yoakam,86,71,7,10,Warner Bros.,"['Country', 'Pop/Rock', 'Contemporary Country', 'New Traditionalist', 'Neo-Traditionalist Country']"
"November 13, 2012",2012,46,Koi No Yokan,Deftones,86,88,18,213,Reprise,"['Pop/Rock', 'Alternative Metal']"
"September 18, 2012",2012,38,Shields,Grizzly Bear,86,88,36,162,Warp,"['Alternative/Indie Rock', 'Indie Rock', 'Post-Rock']"
"April 3, 2012",2012,14,Locked Down,Dr John,86,83,30,20,Nonesuch,"['Pop/Rock', 'Contemporary Singer/Songwriter', 'Blues-Rock', 'Roots Rock']"
"June 26, 2012",2012,26,LEnfant Sauvage,Gojira,86,88,10,67,Roadrunner,"['Pop/Rock', 'Heavy Metal']"
"April 21, 2012",2012,16,Mermaid Avenue The Complete Sessions,Billy BraggWilco,85,80,12,5,Nonesuch,"['Alternative Pop/Rock', 'Alternative Folk', 'Anti-Folk', 'Protest Songs']"
"January 24, 2012",2012,4,Seasons of My Soul,Rumer,85,79,8,12,Atlantic,"['Pop/Rock', 'Adult Alternative Pop/Rock', 'Alternative Singer/Songwriter']"
"April 3, 2012",2012,14,De Vermis Mysteriis,High on Fire,85,87,15,12,Entertainment One Music,"['Pop/Rock', 'Alternative Metal', 'Heavy Metal', 'Stoner Metal']"
